"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","v","v","v","v","v","i","v","v","v","v","b","b","b","b","b","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","y","y","y","y","b","b","b","i","b","b","b","b","i","y","y","g","r","r","r","r","r","r","b","r","b","b","b","b","o","o","o","x"
"x","v","v","v","v","v","g","v","v","v","v","b","b","b","b","b","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","y","y","y","y","b","b","b","o","b","b","b","b","v","y","y","b","r","r","r","r","r","r","g","i","b","b","b","b","o","o","o","x"
"x","v","v","v","v","v","b","v","v","v","v","b","b","b","b","b","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","y","y","y","y","b","b","b","v","b","b","b","b","o","o","o","o","r","r","r","r","r","r","o","v","b","b","b","b","o","o","o","x"
"x","v","v","v","v","v","i","v","v","v","v","b","b","b","b","b","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","y","y","y","y","v","v","v","g","b","b","b","b","o","o","o","o","r","r","r","r","r","r","v","g","b","b","b","b","y","r","y","x"
"x","v","v","v","v","v","b","g","y","i","r","b","b","b","b","b","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","r","v","i","g","v","v","v","o","r","o","g","y","o","o","o","o","r","r","r","r","r","r","y","i","i","i","i","i","g","g","g","x"
"x","g","o","b","b","b","r","o","o","o","o","v","r","r","r","r","v","v","v","v","v","v","i","i","i","i","i","i","b","b","b","b","b","b","y","y","b","r","v","v","v","g","g","b","b","v","o","o","o","o","r","r","r","r","r","r","g","i","i","i","i","i","g","g","g","x"
"x","b","y","b","b","b","g","o","o","o","o","i","r","r","r","r","i","i","i","i","i","o","o","o","v","v","v","v","g","g","g","o","o","o","y","y","v","b","y","y","i","g","g","b","b","i","i","i","i","i","i","i","o","v","b","y","b","i","i","i","i","i","g","g","g","x"
"x","y","i","b","b","b","r","o","o","o","o","g","r","r","r","r","i","i","i","i","i","o","o","o","v","v","v","v","g","g","g","o","o","o","b","r","r","r","y","y","b","r","y","o","y","i","i","i","i","i","i","i","g","g","g","r","r","i","i","i","i","i","y","v","r","x"
"x","v","v","i","y","g","g","o","o","o","o","i","r","r","r","r","i","i","i","i","i","o","o","o","v","v","v","v","g","g","g","o","o","o","v","r","r","r","v","v","v","v","v","v","o","i","i","i","i","i","i","i","g","g","g","r","r","i","i","i","i","i","b","g","i","x"
"x","v","v","r","i","g","g","v","v","v","v","b","b","i","y","g","i","i","i","i","i","b","g","i","v","v","v","v","i","b","y","y","y","y","y","r","r","r","v","v","v","v","v","v","r","i","i","i","i","i","i","i","g","g","g","y","y","v","v","v","v","v","y","y","y","x"
"x","y","y","y","y","y","y","v","v","v","v","b","b","y","r","r","i","i","i","i","i","r","r","o","o","o","o","o","o","r","y","y","y","y","y","i","v","g","v","v","v","v","v","v","b","i","i","i","i","i","i","i","y","o","b","y","y","v","v","v","v","v","y","y","y","x"
"x","y","y","y","y","y","y","v","v","v","v","i","i","i","r","r","b","b","g","y","y","r","r","o","o","o","o","o","o","b","y","y","y","y","y","g","b","b","v","v","v","v","v","v","y","i","i","i","i","i","i","i","r","r","v","b","o","v","v","v","v","v","y","y","y","x"
"x","y","y","y","y","y","y","v","v","v","v","i","i","i","o","o","b","b","i","y","y","v","g","o","o","o","o","o","o","g","y","y","y","y","y","o","b","b","v","v","v","v","v","v","o","i","i","i","i","i","i","i","r","r","y","g","i","v","v","v","v","v","r","i","v","x"
"x","y","y","y","y","y","y","o","g","b","b","i","i","i","o","o","r","v","v","v","v","y","r","o","o","o","o","o","o","b","y","y","y","y","y","i","i","i","v","v","v","v","v","v","y","v","v","v","v","v","v","y","o","y","o","i","y","v","v","v","v","v","b","o","o","x"
"x","y","y","y","y","y","y","b","o","b","b","o","o","r","r","r","b","v","v","v","v","g","v","o","o","o","o","o","o","i","i","i","i","i","v","i","i","i","y","y","y","g","g","g","g","v","v","v","v","v","v","r","b","b","b","b","b","b","b","y","r","b","v","o","o","x"
"x","y","y","y","y","y","y","v","v","r","r","o","o","r","r","r","o","v","v","v","v","y","i","o","o","o","o","o","o","i","i","i","i","i","b","i","i","i","y","y","y","g","g","g","g","v","v","v","v","v","v","o","b","b","b","b","b","b","b","g","g","g","y","i","v","x"
"x","b","r","o","b","r","b","v","v","r","r","y","g","r","r","r","g","v","v","v","v","g","g","v","g","i","b","b","g","i","i","i","i","i","o","o","o","v","y","y","y","g","g","g","g","v","v","v","v","v","v","y","b","b","b","b","b","b","b","g","g","g","r","v","o","x"
"x","v","v","g","y","y","y","y","y","v","v","v","v","v","b","b","i","o","r","i","b","g","g","o","v","y","b","b","v","i","i","i","i","i","o","o","o","g","g","g","o","g","g","g","g","v","v","v","v","v","v","o","b","b","b","b","b","b","b","g","g","g","y","y","i","x"
"x","v","v","i","y","y","y","y","y","v","v","v","v","v","b","b","v","g","g","g","y","y","y","y","y","g","y","y","r","i","i","i","i","i","o","o","o","g","g","g","v","y","y","y","r","v","v","v","v","v","v","y","b","b","b","b","b","b","b","v","r","b","y","y","g","x"
"x","o","g","g","y","y","y","y","y","v","v","v","v","v","g","o","y","g","g","g","y","y","y","y","y","i","y","y","i","v","v","v","v","v","v","i","r","g","g","g","i","y","y","y","v","b","b","b","b","b","r","v","b","b","b","b","b","b","b","g","o","o","o","b","v","x"
"x","i","g","g","y","y","y","y","y","v","v","v","v","v","r","r","o","g","g","g","y","y","y","y","y","o","o","o","o","v","v","v","v","v","v","o","o","o","o","o","o","y","y","y","i","b","b","b","b","b","o","y","b","b","b","b","b","b","b","v","o","o","o","g","o","x"
"x","b","v","v","y","y","y","y","y","v","v","v","v","v","r","r","y","r","o","r","y","y","y","y","y","o","o","o","o","v","v","v","v","v","v","o","o","o","o","o","o","v","v","v","v","b","b","b","b","b","g","g","i","i","i","g","i","i","r","i","o","o","o","v","v","x"
"x","i","v","v","r","r","r","r","r","r","o","i","i","i","b","b","b","o","y","g","y","y","y","y","y","o","o","o","o","v","v","v","v","v","v","o","o","o","o","o","o","v","v","v","v","b","b","b","b","b","g","g","i","i","i","o","i","i","y","b","v","g","b","v","v","x"
