"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","b","b","b","b","g","g","g","g","b","b","v","v","b","b","g","g","g","b","b","b","g","g","o","o","y","y","i","b","b","b","b","b","b","i","i","i","i","b","b","b","b","r","g","g","b","b","i","i","i","i","i","i","i","r","r","r","r","r","r","b","i","i","i","i","x"
"x","b","b","b","b","g","g","g","g","b","b","v","v","b","b","g","g","g","b","b","b","g","g","o","o","y","y","v","b","b","b","b","b","b","i","i","i","i","b","b","b","b","i","g","g","b","b","i","i","i","i","i","i","i","r","r","r","r","r","r","o","i","i","i","i","x"
"x","b","b","b","b","g","g","g","g","v","y","y","i","y","o","g","g","g","b","b","b","i","i","i","i","i","v","y","b","b","b","b","b","b","i","i","i","i","b","b","b","b","v","b","i","o","v","i","i","i","i","i","i","i","r","r","r","r","r","r","g","i","i","i","i","x"
"x","b","b","b","b","g","g","g","g","r","y","y","b","b","b","b","b","y","i","i","g","i","i","i","i","i","y","g","b","b","b","b","b","b","i","i","i","i","b","b","b","b","i","y","y","v","b","i","i","i","i","i","i","i","r","r","r","r","r","r","y","i","i","i","i","x"
"x","v","v","o","o","o","o","o","y","o","o","o","b","b","b","b","b","v","i","i","v","i","i","i","i","i","b","i","b","b","b","b","b","b","y","y","y","y","y","y","g","o","v","y","y","o","y","i","i","i","i","i","i","i","r","r","r","r","r","r","o","v","r","y","o","x"
"x","v","v","o","o","o","o","o","b","o","o","o","b","b","b","b","b","g","g","g","y","i","i","i","i","i","o","r","b","b","b","b","b","b","y","y","y","y","y","y","r","r","r","r","i","y","o","i","i","i","i","i","i","i","r","r","r","r","r","r","b","b","b","i","g","x"
"x","i","r","o","o","o","o","o","i","o","o","o","b","b","b","b","b","g","g","g","v","i","i","i","i","i","g","o","v","o","o","y","y","g","y","y","y","y","y","y","r","r","r","r","o","i","b","i","i","i","i","i","i","i","o","o","o","o","o","o","b","b","b","y","i","x"
"x","v","v","o","o","o","o","o","b","r","v","i","b","b","b","b","b","g","g","g","y","y","y","y","y","v","b","b","r","o","o","y","y","o","y","y","y","y","y","y","r","r","r","r","b","b","g","g","g","g","g","g","r","v","o","o","o","o","o","o","b","b","b","o","y","x"
"x","v","v","o","o","o","o","o","r","y","y","r","o","o","o","o","o","o","v","b","y","y","y","y","y","r","b","b","o","b","b","b","r","g","y","y","y","y","y","y","r","r","r","r","b","b","g","g","g","g","g","g","v","b","o","o","o","o","o","o","y","y","y","y","o","x"
"x","g","g","g","g","g","g","g","v","y","y","g","o","o","o","o","o","o","r","v","y","y","y","y","y","b","y","y","v","b","b","b","y","r","y","y","y","y","y","y","o","o","o","o","r","i","g","g","g","g","g","g","y","y","o","o","o","o","o","o","y","y","y","y","g","x"
"x","g","g","g","g","g","g","g","i","i","i","i","o","o","o","o","o","o","b","r","y","y","y","y","y","i","y","y","r","b","b","b","o","o","o","o","o","o","o","v","o","o","o","o","b","b","g","g","g","g","g","g","y","y","o","o","o","o","o","o","y","y","y","y","r","x"
"x","g","g","g","g","g","g","g","i","i","i","i","o","o","o","o","o","o","i","g","y","y","y","y","y","g","g","g","g","g","g","g","o","o","o","o","o","o","o","y","o","o","o","o","b","b","g","g","g","g","g","g","i","b","o","o","o","o","o","o","y","y","y","y","b","x"
"x","g","g","g","g","g","g","g","i","i","i","i","o","o","o","o","o","o","g","i","g","g","g","g","b","g","g","g","g","g","g","g","o","o","o","o","o","o","o","b","o","o","o","o","i","r","g","g","g","g","g","g","r","r","r","r","r","y","g","g","g","g","g","g","g","x"
"x","g","g","g","g","g","g","g","i","i","i","i","o","o","o","o","o","o","i","r","g","g","g","g","r","g","g","g","g","g","g","g","o","o","o","o","o","o","o","g","v","b","b","b","b","b","y","y","y","y","i","i","r","r","r","r","r","o","g","g","g","g","g","g","g","x"
"x","g","g","g","g","g","g","g","y","y","y","y","y","y","r","b","b","i","b","b","g","g","g","g","b","g","g","g","g","g","g","g","o","o","o","o","o","o","o","v","r","b","b","b","b","b","y","y","y","y","i","i","r","r","r","r","r","i","g","g","g","g","g","g","g","x"
"x","g","g","g","g","g","g","g","y","y","y","y","y","y","i","b","b","o","b","b","g","g","g","g","r","g","g","g","g","g","g","g","o","o","o","o","o","o","o","g","o","b","b","b","b","b","y","y","y","y","o","v","r","r","r","r","r","y","g","g","g","g","g","g","g","x"
