"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","o","o","o","o","o","i","i","i","i","i","i","i","r","r","g","i","i","b","g","g","g","g","g","r","r","r","r","r","v","g","g","i","i","i","i","i","i","o","o","o","o","o","o","o","v","y","y","y","y","y","y","y","g","g","y","r","r","i","i","i","r","v","v","v","x"
"x","o","o","o","o","o","i","i","i","i","i","i","i","r","r","y","i","i","v","g","g","g","g","g","r","r","r","r","r","b","g","g","i","i","i","i","i","i","o","o","o","o","o","o","o","i","y","y","y","y","y","y","y","g","g","i","r","r","i","i","i","o","v","v","v","x"
"x","o","o","o","o","o","i","i","i","i","i","i","i","g","v","v","v","o","y","g","g","g","g","g","r","r","r","r","r","v","y","b","i","i","i","i","i","i","o","o","o","o","o","o","o","v","y","y","y","y","y","y","y","o","r","y","o","g","i","i","i","r","v","v","v","x"
"x","o","o","o","o","o","i","i","i","i","i","i","i","y","v","v","v","g","o","g","g","g","g","g","r","r","r","r","r","g","o","y","i","i","i","i","i","i","o","o","o","o","o","o","o","r","y","y","y","y","y","y","y","b","b","b","b","b","r","g","y","y","o","y","y","x"
"x","o","o","o","o","o","i","i","i","i","i","i","i","g","v","v","v","b","r","g","g","g","g","g","r","r","r","r","r","o","b","g","i","i","i","i","i","i","o","o","o","o","o","o","o","v","y","y","y","y","y","y","y","b","b","b","b","b","i","o","y","y","b","y","y","x"
"x","i","i","r","y","b","i","i","i","i","i","i","i","b","y","y","o","i","i","y","b","b","v","v","v","v","v","g","b","i","v","b","i","i","i","i","i","i","o","o","o","o","o","o","o","r","y","y","y","y","y","y","y","b","b","b","b","b","y","r","r","r","r","i","b","x"
"x","i","i","y","i","g","i","i","i","i","i","i","i","g","y","y","b","i","i","g","b","b","v","v","v","v","v","y","y","y","y","g","g","g","g","g","g","r","o","o","o","o","o","o","o","i","y","y","y","y","y","y","y","b","b","b","b","b","g","r","r","r","r","v","o","x"
"x","o","o","o","o","o","g","g","r","r","r","v","r","r","r","r","r","r","r","y","g","r","v","v","v","v","v","y","y","y","y","g","g","g","g","g","g","b","g","r","b","b","b","b","r","v","v","v","v","v","v","r","g","b","b","b","b","b","v","r","r","r","r","b","b","x"
"x","o","o","o","o","o","g","g","r","r","r","y","r","r","r","r","r","r","r","o","i","y","v","v","v","v","v","y","y","y","y","g","g","g","g","g","g","i","y","o","b","b","b","b","g","v","v","v","v","v","v","i","i","i","i","i","i","i","g","r","r","r","r","b","b","x"
"x","o","o","o","o","o","r","o","r","r","r","v","r","r","r","r","r","r","r","i","o","r","v","v","v","v","v","y","y","y","y","g","g","g","g","g","g","v","b","g","b","b","b","b","y","v","v","v","v","v","v","i","i","i","i","i","i","i","y","b","b","v","i","r","g","x"
"x","o","o","o","o","o","i","i","i","y","o","i","r","r","r","r","r","r","r","b","b","b","b","b","b","b","g","o","i","r","b","g","g","g","g","g","g","o","y","y","b","b","b","b","i","v","v","v","v","v","v","i","i","i","i","i","i","i","o","b","b","y","o","o","o","x"
"x","o","o","o","o","o","i","i","i","b","r","b","r","r","r","r","r","r","r","b","b","b","b","b","b","b","o","r","y","b","v","g","g","g","g","g","g","v","y","y","o","o","r","o","o","v","v","v","v","v","v","i","i","i","i","i","i","i","y","y","g","i","o","o","o","x"
"x","v","g","g","g","y","i","i","i","y","b","v","r","r","r","r","r","r","r","b","b","b","b","b","b","b","g","g","g","g","r","r","r","r","r","r","r","o","r","i","o","o","y","o","o","v","v","v","v","v","v","i","i","i","i","i","i","i","y","y","r","b","o","o","o","x"
"x","r","g","g","g","b","b","b","b","b","r","i","r","r","r","r","r","r","r","b","b","b","b","b","b","b","g","g","g","g","r","r","r","r","r","r","r","y","y","y","y","y","v","v","v","r","r","r","r","g","o","i","i","i","i","i","i","i","g","i","i","i","i","y","r","x"
