"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","o","o","o","o","o","g","g","g","y","y","y","y","y","y","y","y","b","b","b","g","y","y","v","v","v","v","v","i","i","i","i","i","i","i","g","g","g","g","g","g","r","r","r","i","i","r","y","y","y","y","i","i","i","v","v","v","b","b","b","b","b","b","b","b","x"
"x","o","o","o","o","o","g","g","g","y","y","y","y","y","y","y","y","b","b","b","i","y","y","v","v","v","v","v","i","i","i","i","i","i","i","g","g","g","g","g","g","r","r","r","i","i","g","y","y","y","y","i","i","i","v","v","v","b","b","b","b","b","b","b","b","x"
"x","o","o","o","o","o","g","g","g","y","y","y","y","y","y","y","y","b","b","b","r","v","r","v","v","v","v","v","i","i","i","i","i","i","i","g","g","g","g","g","g","r","r","r","o","v","r","y","y","y","y","i","i","i","v","v","v","b","b","b","b","b","b","b","b","x"
"x","o","o","o","o","o","b","v","o","y","y","y","y","y","y","y","y","o","o","o","o","o","o","v","v","v","v","v","i","i","i","i","i","i","i","g","g","g","g","g","g","i","v","y","r","g","o","y","y","y","y","v","o","o","o","o","o","b","b","b","b","b","b","b","b","x"
"x","o","o","o","o","o","i","y","b","y","y","y","y","y","y","y","y","o","o","o","o","o","o","v","v","v","v","v","i","i","i","i","i","i","i","g","g","g","g","g","g","b","b","b","b","b","r","r","r","r","r","r","o","o","o","o","o","b","b","b","b","b","b","b","b","x"
"x","g","g","g","g","b","v","i","v","y","y","y","y","y","y","y","y","o","o","o","o","o","o","b","g","i","g","b","i","i","i","i","i","i","i","g","g","g","g","g","g","b","b","b","b","b","r","r","r","r","r","r","o","o","o","o","o","b","b","b","b","b","b","b","b","x"
"x","g","g","g","g","r","g","g","g","y","y","y","y","y","y","y","y","o","o","o","o","o","o","g","y","v","b","r","i","i","i","i","i","i","i","v","v","v","o","b","v","b","b","b","b","b","r","r","r","r","r","r","o","o","o","o","o","b","b","b","b","b","b","b","b","x"
"x","g","g","g","g","i","g","g","g","y","y","y","y","y","y","y","y","o","o","o","o","o","o","i","i","i","i","i","o","o","o","o","o","b","g","v","v","v","b","y","i","b","b","b","b","b","r","r","r","r","r","r","o","o","o","o","o","b","b","b","b","b","b","b","b","x"
"x","g","g","g","g","y","g","g","g","r","r","r","r","r","r","b","b","o","o","o","o","o","o","i","i","i","i","i","o","o","o","o","o","i","b","v","v","v","y","g","o","b","b","b","b","b","r","r","r","r","r","r","b","b","b","i","i","i","i","i","i","i","g","g","i","x"
