"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","y","y","y","v","v","v","v","v","v","v","v","o","o","b","v","v","y","y","y","y","y","v","v","v","v","i","v","v","y","y","y","y","y","y","y","r","r","r","r","r","i","i","i","i","i","b","b","g","g","g","b","r","r","r","r","r","r","o","o","v","v","v","v","v","x"
"x","y","y","y","v","v","v","v","v","v","v","v","o","o","y","v","v","y","y","y","y","y","v","v","v","v","g","v","v","y","y","y","y","y","y","y","r","r","r","r","r","i","i","i","i","i","b","b","g","g","g","i","r","r","r","r","r","r","o","o","v","v","v","v","v","x"
"x","y","y","y","v","v","v","v","v","v","v","v","r","g","r","y","i","y","y","y","y","y","v","v","v","v","b","y","i","y","y","y","y","y","y","y","r","r","r","r","r","i","i","i","i","i","o","r","g","g","g","b","r","r","r","r","r","r","v","y","v","v","v","v","v","x"
"x","v","g","o","v","v","v","v","v","v","v","v","i","o","v","v","r","y","y","y","y","y","v","v","v","v","i","b","r","y","y","y","y","y","y","y","r","r","r","r","r","i","i","i","i","i","v","v","v","v","v","o","r","r","r","r","r","r","y","g","v","v","v","v","v","x"
"x","y","y","y","v","v","v","v","v","v","v","v","y","r","v","v","i","y","y","y","y","y","r","o","r","o","b","o","o","y","y","y","y","y","y","y","r","r","r","r","r","i","i","i","i","i","v","v","v","v","v","y","r","r","r","r","r","r","v","y","v","v","v","v","v","x"
"x","y","y","y","v","v","v","v","v","v","v","v","o","o","o","b","b","b","b","b","i","i","b","i","v","y","y","o","o","y","y","y","y","y","y","y","v","v","v","v","v","v","b","b","b","r","v","v","v","v","v","b","r","r","r","r","r","r","i","i","i","i","g","o","y","x"
"x","y","y","y","v","v","v","v","v","v","v","v","o","o","o","b","b","b","b","b","i","i","v","v","i","y","y","b","i","y","y","y","y","y","y","y","v","v","v","v","v","v","b","b","b","y","v","v","v","v","v","g","g","i","g","g","g","g","i","i","i","i","r","i","g","x"
"x","o","r","b","v","v","v","v","v","v","v","v","o","o","o","b","b","b","b","b","v","o","v","v","y","b","r","r","r","r","r","r","o","g","b","o","v","v","v","v","v","v","b","b","b","g","v","v","v","v","v","g","g","v","g","g","g","g","i","i","i","i","v","g","o","x"
"x","g","g","y","y","y","y","y","y","g","b","b","b","y","g","b","b","b","b","b","i","i","i","i","b","o","r","r","r","r","r","r","g","b","v","i","v","v","v","v","v","v","r","r","r","r","r","r","r","y","y","y","r","r","g","g","g","g","i","i","i","i","r","b","y","x"
"x","g","g","y","y","y","y","y","y","r","b","b","b","o","y","b","b","b","b","b","i","i","i","i","o","y","r","r","r","r","r","r","y","i","r","y","v","v","v","v","v","v","r","r","r","r","r","r","r","y","y","y","r","r","g","g","g","g","b","b","o","v","g","i","v","x"
"x","b","v","y","y","y","y","y","y","v","b","b","b","v","v","v","y","v","g","r","i","i","i","i","g","i","r","r","r","r","r","r","i","r","i","i","v","v","v","v","v","v","r","r","r","r","r","r","r","y","y","y","b","y","y","y","y","y","b","b","g","b","b","b","b","x"
"x","o","o","y","y","y","y","y","y","i","v","i","g","v","v","v","r","r","r","o","i","i","i","i","b","b","r","r","r","r","r","r","g","o","i","i","r","o","o","o","b","g","r","r","r","r","r","r","r","i","i","i","i","y","y","y","y","y","o","g","o","b","b","b","b","x"
