"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","o","i","i","i","i","i","y","y","r","r","r","r","r","r","r","v","g","o","o","o","b","b","b","b","r","r","r","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","g","v","v","v","v","v","i","i","i","i","i","i","i","y","g","r","b","i","x"
"x","g","i","i","i","i","i","y","y","r","r","r","r","r","r","r","o","r","o","o","o","b","b","b","b","r","r","r","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","i","v","v","v","v","v","i","i","i","i","i","i","i","o","y","v","v","v","x"
"x","v","i","i","i","i","i","r","o","r","r","r","r","r","r","r","v","b","o","o","o","b","b","b","b","r","r","r","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","o","v","v","v","v","v","i","i","i","i","i","i","i","y","b","v","v","v","x"
"x","o","i","i","i","i","i","o","i","r","r","r","r","r","r","r","y","y","g","g","v","b","b","b","b","g","o","g","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","g","v","v","v","v","v","i","i","i","i","i","i","i","b","i","v","v","v","x"
"x","r","i","i","i","i","i","v","v","r","r","r","r","r","r","r","y","y","g","g","i","y","o","v","v","r","v","i","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","o","v","v","v","v","v","i","i","i","i","i","i","i","o","b","b","b","r","x"
"x","v","g","g","g","g","y","v","v","r","r","r","r","r","r","r","v","v","v","v","v","v","r","v","v","o","r","r","b","b","b","b","b","b","b","r","r","r","r","r","r","b","b","b","b","b","b","r","r","r","y","b","r","i","i","i","i","i","i","i","v","b","b","b","o","x"
"x","y","g","g","g","g","r","g","y","r","r","r","r","r","r","r","v","v","v","v","v","v","y","r","y","y","r","r","b","b","b","b","b","b","b","o","b","y","y","y","y","g","o","v","y","i","y","r","r","r","o","r","v","i","i","i","i","i","i","i","r","b","b","b","y","x"
"x","b","g","g","g","g","b","b","b","b","b","b","b","b","y","g","v","v","v","v","v","v","g","b","y","y","i","i","i","i","v","v","v","v","v","v","v","y","y","y","y","i","i","i","i","g","b","r","r","r","g","g","g","g","r","r","r","r","y","v","v","v","v","v","v","x"
"x","i","g","g","g","g","b","b","b","b","b","b","b","b","g","b","v","v","v","v","v","v","o","o","o","b","i","i","i","i","v","v","v","v","v","v","v","y","y","y","y","i","i","i","i","y","y","v","y","v","g","g","g","g","r","r","r","r","g","v","v","v","v","v","v","x"
