"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","b","b","r","r","r","r","r","o","i","i","i","i","i","g","g","g","b","o","y","y","y","y","y","g","g","g","y","y","y","b","b","b","b","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","v","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","b","b","r","r","r","r","r","g","i","i","i","i","i","g","g","g","i","r","y","y","y","y","y","g","g","g","y","y","y","b","b","b","b","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","r","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","r","y","r","r","r","r","r","y","i","i","i","i","i","g","g","g","o","i","y","y","y","y","y","g","g","g","y","y","y","b","b","b","b","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","v","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","o","g","r","r","r","r","r","o","i","i","i","i","i","o","b","v","i","o","y","y","y","y","y","o","i","i","g","g","g","b","b","b","b","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","b","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","r","b","r","r","r","r","r","b","i","i","i","i","i","y","y","y","y","i","y","y","y","y","y","b","i","i","g","g","g","i","g","i","r","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","r","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","g","y","y","y","y","o","g","g","r","b","y","y","r","y","y","y","y","v","v","v","v","v","v","r","b","o","g","g","g","o","o","b","g","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","v","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","i","y","y","y","y","v","g","g","b","o","y","y","i","y","y","y","y","v","v","v","v","v","v","g","g","y","o","o","r","o","o","i","o","y","y","y","y","y","y","y","y","g","g","g","g","g","g","g","i","o","o","o","o","o","o","o","i","i","i","i","i","i","i","i","x"
"x","g","y","y","y","y","i","i","i","i","i","i","i","g","y","y","y","y","v","v","v","v","v","v","g","g","i","o","o","i","y","v","o","r","y","y","y","y","y","y","y","y","v","v","v","v","v","y","y","y","y","y","y","y","y","g","y","i","i","i","i","i","i","i","i","x"
"x","i","y","y","y","y","i","i","i","i","i","i","i","v","g","g","g","o","v","v","v","v","v","v","r","r","r","r","r","v","i","i","i","i","i","i","v","b","r","r","r","r","v","v","v","v","v","y","y","y","y","y","y","y","y","v","v","v","v","v","v","r","r","r","g","x"
"x","b","b","v","r","b","i","i","i","i","i","i","i","y","g","g","g","r","v","v","v","v","v","v","r","r","r","r","r","y","i","i","i","i","i","i","r","i","r","r","r","r","v","v","v","v","v","y","y","y","y","y","y","y","y","v","v","v","v","v","v","r","r","r","b","x"
"x","b","b","g","g","g","i","i","i","i","i","i","i","b","g","g","g","y","v","v","v","v","v","v","r","r","r","r","r","b","i","i","i","i","i","i","g","y","r","r","r","r","v","v","v","v","v","y","y","y","y","y","y","y","y","v","v","v","v","v","v","r","r","r","y","x"
"x","i","o","g","g","g","i","i","i","i","i","i","i","r","r","r","r","r","r","r","r","g","y","o","r","r","r","r","r","g","i","i","i","i","i","i","o","i","r","r","r","r","v","v","v","v","v","y","y","y","y","y","y","y","y","v","v","v","v","v","v","g","g","v","b","x"
"x","b","b","g","g","g","i","i","i","i","i","i","i","r","r","r","r","r","r","r","r","v","b","g","r","r","r","r","r","b","i","i","i","i","i","i","b","b","g","b","b","b","b","b","b","b","r","y","y","y","y","y","y","y","y","v","v","v","v","v","v","g","g","y","r","x"
"x","b","b","r","y","r","i","i","i","i","i","i","i","r","r","r","r","r","r","r","r","i","i","i","i","i","o","b","v","y","i","i","i","i","i","i","b","b","v","b","b","b","b","b","b","b","i","y","y","y","y","y","y","y","y","v","v","v","v","v","v","i","i","i","o","x"
"x","i","i","i","i","y","v","v","y","y","b","v","g","r","r","r","r","r","r","r","r","i","i","i","i","i","v","v","i","v","v","v","v","v","v","v","v","r","r","b","b","b","b","b","b","b","g","y","y","y","y","y","y","y","y","b","y","g","o","r","y","i","i","i","v","x"
"x","i","i","i","i","b","v","v","y","y","o","b","i","r","r","r","r","r","r","r","r","i","i","i","i","i","v","v","o","v","v","v","v","v","v","v","v","r","r","b","b","b","b","b","b","b","i","i","i","i","i","v","v","v","v","v","v","y","y","y","v","i","i","i","r","x"
"x","i","i","i","i","v","r","y","v","i","y","y","y","r","r","r","r","r","r","r","r","i","i","i","i","i","y","y","y","v","v","v","v","v","v","v","v","b","g","b","b","b","b","b","b","b","i","i","i","i","i","v","v","v","v","v","v","y","y","y","g","b","v","g","b","x"
"x","i","i","i","i","g","g","g","i","v","y","y","y","r","r","r","r","r","r","r","r","i","i","i","i","i","y","y","y","v","v","v","v","v","v","v","v","g","i","b","b","b","b","b","b","b","i","i","i","i","i","v","v","v","v","v","v","y","y","y","r","r","r","v","r","x"
"x","b","v","o","v","g","g","g","v","o","y","y","y","r","r","r","r","r","r","r","r","o","r","b","g","r","y","y","y","v","v","v","v","v","v","v","v","r","v","b","b","b","b","b","b","b","i","i","i","i","i","v","v","v","v","v","v","b","b","b","r","r","r","o","v","x"
"x","v","r","g","o","g","g","g","b","b","v","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","g","g","v","v","v","v","v","v","v","v","y","y","y","y","y","y","y","y","o","i","i","i","i","i","v","v","v","v","v","v","b","b","b","r","r","r","b","g","x"
"x","b","v","v","v","v","y","v","b","b","y","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","g","g","v","v","v","v","v","v","v","v","y","y","y","y","y","y","y","y","r","r","r","r","o","o","v","v","v","v","v","v","b","b","b","i","o","v","v","v","x"
"x","i","v","v","v","v","r","r","r","r","r","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","y","y","v","v","v","v","v","v","v","v","y","y","y","y","y","y","y","y","r","r","r","r","o","o","i","i","o","g","g","o","g","g","y","v","i","v","v","v","x"
"x","y","v","v","v","v","r","r","r","r","r","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","y","y","b","b","b","b","i","b","g","r","y","y","y","y","y","y","y","y","r","r","r","r","y","v","i","i","v","g","g","b","g","g","i","g","y","v","v","v","x"
"x","o","v","v","v","v","r","r","r","r","r","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","r","v","b","b","b","b","y","y","o","b","y","y","y","y","y","y","y","y","r","r","r","r","i","y","y","y","y","y","y","v","b","r","r","r","r","r","r","o","x"
"x","i","r","r","y","y","r","r","r","r","r","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","i","g","b","b","b","b","y","y","b","g","y","y","y","y","y","y","y","y","i","b","v","o","v","y","y","y","y","y","y","g","i","r","r","r","r","r","r","b","x"
"x","o","r","r","y","y","r","r","r","r","r","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","y","y","b","b","b","b","i","i","o","r","y","y","y","y","y","y","y","y","g","g","r","v","o","y","y","y","y","y","y","r","g","r","r","r","r","r","r","g","x"
"x","b","b","b","b","b","b","b","b","v","y","g","g","g","g","g","g","g","g","v","v","v","v","v","v","v","v","y","y","i","g","o","y","i","i","v","o","y","y","y","y","y","y","y","y","g","g","o","i","v","y","y","y","y","y","y","g","v","r","r","r","r","r","r","b","x"
"x","b","b","b","b","b","b","b","b","g","o","o","o","o","o","o","b","i","i","i","i","i","g","g","g","o","o","b","b","b","b","b","b","b","b","g","b","b","b","b","b","b","b","g","r","r","v","y","r","i","y","y","y","y","y","y","i","o","r","r","r","r","r","r","v","x"
"x","b","b","b","b","b","b","b","b","v","o","o","o","o","o","o","y","i","i","i","i","i","g","g","g","o","o","b","b","b","b","b","b","b","b","y","b","b","b","b","b","b","b","i","r","r","g","o","o","o","y","y","y","y","y","y","r","i","r","r","r","r","r","r","b","x"
"x","b","b","b","b","b","b","b","b","r","o","o","o","o","o","o","g","i","i","i","i","i","g","g","g","r","i","b","b","b","b","b","b","b","b","o","b","b","b","b","b","b","b","y","o","v","b","o","o","o","v","v","b","b","b","b","b","b","b","b","o","o","g","i","y","x"
"x","b","b","b","b","b","b","b","b","y","o","o","o","o","o","o","v","i","i","i","i","i","o","i","i","i","r","b","b","b","b","b","b","b","b","i","b","b","b","b","b","b","b","r","v","i","g","o","o","o","v","v","b","b","b","b","b","b","b","b","o","o","i","v","v","x"
"x","b","b","b","b","b","b","b","b","i","o","o","o","o","o","o","r","i","i","i","i","i","v","i","i","i","v","b","b","b","b","b","b","b","b","r","b","b","b","b","b","b","b","i","i","g","b","g","y","i","y","g","b","b","b","b","b","b","b","b","g","i","r","v","v","x"
"x","b","b","b","b","b","b","b","b","y","o","o","o","o","o","o","b","v","g","w","y","g","o","i","i","i","o","b","b","b","b","b","b","b","b","o","b","b","b","b","b","b","b","i","i","r","r","r","r","r","r","r","b","b","b","b","b","b","b","b","y","y","y","y","g","x"
"x","b","b","b","b","b","b","b","b","g","r","r","r","r","r","r","r","y","b","b","b","b","b","b","b","b","r","b","b","b","b","b","b","b","b","r","b","b","b","b","b","b","b","g","g","r","r","r","r","r","r","r","b","b","b","b","b","b","b","b","y","y","y","y","i","x"
"x","i","i","i","i","o","o","o","o","o","r","r","r","r","r","r","r","w","b","b","b","b","b","b","b","b","o","b","b","b","b","b","b","b","b","v","v","v","v","v","v","v","y","g","g","r","r","r","r","r","r","r","b","b","b","b","b","b","b","b","y","y","y","y","r","x"
"x","i","i","i","i","o","o","o","o","o","r","r","r","r","r","r","r","v","b","b","b","b","b","b","b","b","v","v","y","y","y","y","y","i","r","v","v","v","v","v","v","v","o","v","v","r","r","r","r","r","r","r","b","b","b","b","b","b","b","b","y","y","y","y","o","x"
"x","i","i","i","i","o","o","o","o","o","r","r","r","r","r","r","r","i","b","b","b","b","b","b","b","b","v","v","y","y","y","y","y","b","o","v","v","v","v","v","v","v","r","v","v","r","r","r","r","r","r","r","b","b","b","b","b","b","b","b","r","v","i","i","g","x"
"x","i","i","i","i","o","o","o","o","o","r","r","r","r","r","r","r","o","b","b","b","b","b","b","b","b","i","g","y","y","y","y","y","i","b","v","v","v","v","v","v","v","i","r","i","r","r","r","r","r","r","r","v","v","v","r","i","r","i","y","i","b","i","i","b","x"
"x","o","o","o","b","o","o","o","o","o","r","r","r","r","r","r","r","g","b","b","b","b","b","b","b","b","o","r","y","y","y","y","y","g","o","v","v","v","v","v","v","v","y","b","v","r","r","r","r","r","r","r","v","v","v","b","b","b","v","b","b","g","g","v","r","x"
"x","o","o","o","g","r","i","y","y","g","r","r","r","r","r","r","r","i","b","b","b","b","b","b","b","b","r","g","y","y","y","y","y","r","b","v","v","v","v","v","v","v","i","i","i","i","i","i","i","v","y","i","v","v","v","b","b","b","g","b","b","g","g","o","i","x"
"x","o","o","o","r","y","r","y","y","i","v","v","v","v","v","v","y","r","b","b","b","b","b","b","b","b","v","v","v","v","g","v","b","b","r","v","v","v","v","v","v","v","i","i","i","i","i","i","i","g","o","o","o","o","o","b","b","b","y","y","y","y","o","b","g","x"
"x","i","i","i","i","i","i","i","v","r","v","v","v","v","v","v","b","v","v","o","o","o","o","v","i","o","v","v","v","v","r","r","b","b","v","y","r","r","r","r","r","r","i","i","i","i","i","i","i","v","o","o","o","o","o","r","g","o","y","y","y","y","i","i","y","x"
"x","i","i","i","i","i","i","i","r","i","v","v","v","v","v","v","i","v","v","o","o","o","o","r","v","r","v","v","v","v","r","r","v","r","g","o","r","r","r","r","r","r","i","i","i","i","i","i","i","b","o","o","o","o","o","v","b","v","y","y","y","y","i","i","b","x"
"x","i","i","i","i","i","i","i","v","r","v","v","v","v","v","v","r","o","g","o","o","o","o","v","y","b","v","v","v","v","y","y","y","y","y","b","r","r","r","r","r","r","i","i","i","i","i","i","i","y","o","o","o","o","o","g","g","b","y","y","y","y","b","r","g","x"
"x","i","i","i","i","i","i","i","o","i","v","v","v","v","v","v","b","b","b","o","o","o","o","g","g","g","g","o","i","i","y","y","y","y","y","v","r","r","r","r","r","r","i","i","i","i","i","i","i","r","o","o","o","o","o","g","g","r","r","r","r","g","i","o","v","x"
"x","i","i","i","i","i","i","i","b","o","v","v","v","v","v","v","b","b","b","y","y","b","v","g","g","g","g","y","i","i","y","y","y","y","y","o","r","r","r","r","r","r","i","i","i","i","i","i","i","v","v","v","i","b","v","i","o","r","r","r","r","b","y","v","y","x"
"x","i","i","i","i","i","i","i","r","i","i","i","i","i","i","i","b","b","b","y","y","i","i","g","g","g","g","b","b","b","y","y","y","y","y","g","r","r","r","r","r","r","b","b","b","b","b","b","y","v","v","v","r","r","r","v","v","r","r","r","r","v","v","b","i","x"
"x","i","i","i","i","i","i","i","b","i","i","i","i","i","i","i","r","o","r","g","g","i","i","g","g","g","g","b","b","b","y","y","y","y","y","i","g","v","b","v","v","v","b","b","b","b","b","b","r","v","v","v","r","r","r","v","v","r","r","r","r","v","v","i","y","x"
"x","r","r","r","r","r","r","r","g","i","i","i","i","i","i","i","v","b","y","g","g","y","y","o","r","y","v","b","b","b","v","o","o","b","r","y","y","y","y","v","v","v","b","b","b","b","b","b","g","i","r","y","r","r","r","g","g","g","g","g","v","y","g","g","g","x"
"x","r","r","r","r","r","r","r","o","i","i","i","i","i","i","i","g","g","g","o","b","y","y","b","b","b","b","i","g","g","g","o","o","v","o","y","y","y","y","v","v","v","b","b","b","b","b","b","v","v","v","v","o","v","i","g","g","g","g","g","y","i","g","g","g","x"
