"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"x","y","y","y","y","y","o","o","b","b","g","g","g","g","r","r","r","r","g","g","g","g","g","g","y","y","r","r","r","r","v","v","o","i","i","i","i","i","o","b","b","b","b","b","b","i","i","i","i","y","y","y","b","b","v","v","g","g","g","g","i","r","b","b","b","x"
"x","y","y","y","y","y","o","o","b","b","g","g","g","g","r","r","r","r","g","g","g","g","g","g","y","y","r","r","r","r","v","v","y","i","i","i","i","i","y","b","b","b","b","b","b","i","i","i","i","y","y","y","b","b","v","v","g","g","g","g","y","o","b","b","b","x"
"x","y","y","y","y","y","v","b","r","i","g","g","g","g","r","r","r","r","g","g","g","g","g","g","v","i","r","r","r","r","b","y","g","i","i","i","i","i","r","b","b","b","b","b","b","i","i","i","i","y","y","y","i","o","o","o","g","g","g","g","r","g","b","b","b","x"
"x","y","y","y","y","y","g","g","g","y","g","g","g","g","r","r","r","r","g","g","g","g","g","g","b","v","r","r","r","r","y","o","y","i","i","i","i","i","g","b","b","b","b","b","b","i","i","i","i","o","g","r","v","o","o","o","g","g","g","g","b","r","o","v","o","x"
"x","y","y","y","y","y","g","g","g","o","i","i","i","i","i","o","g","v","g","g","g","g","g","g","v","y","y","v","g","i","i","i","b","i","i","i","i","i","v","b","b","b","b","b","b","y","y","y","y","y","y","y","g","o","o","o","v","v","v","v","v","v","v","i","i","x"
"x","b","v","o","i","v","g","g","g","r","i","i","i","i","i","b","o","r","g","g","g","g","g","g","r","y","y","b","b","i","i","i","g","g","g","v","r","g","g","b","b","b","b","b","b","y","y","y","y","y","y","y","b","v","g","y","v","v","v","v","v","v","v","i","i","x"
"x","r","r","r","r","r","r","r","y","y","i","i","i","i","i","r","r","b","b","b","b","b","b","y","o","b","v","b","b","i","i","i","g","g","g","o","i","g","g","y","i","o","i","v","i","y","y","y","y","y","y","y","r","r","r","r","v","v","v","v","v","v","v","b","y","x"
"x","r","r","r","r","r","r","r","y","y","i","i","i","i","i","r","r","b","b","b","b","b","b","o","i","y","y","y","y","y","y","y","g","g","g","r","r","r","i","o","g","g","g","g","o","y","y","y","y","y","y","y","r","r","r","r","v","v","v","v","v","v","v","r","g","x"
"x","r","r","r","r","r","r","r","i","o","i","i","i","i","i","b","g","b","b","b","b","b","b","i","v","y","y","y","y","y","y","y","b","b","o","r","r","r","v","v","g","g","g","g","b","y","y","y","y","y","y","y","r","r","r","r","v","v","v","v","v","v","v","b","v","x"
"x","r","r","r","r","r","r","r","y","y","y","y","y","g","r","r","r","b","b","b","b","b","b","y","b","y","y","y","y","y","y","y","b","b","y","r","r","r","v","v","g","g","g","g","i","y","y","y","y","y","y","y","r","r","r","r","v","v","v","v","v","v","v","r","o","x"
"x","r","r","r","r","r","r","r","y","y","y","y","y","o","r","r","r","b","b","b","b","b","b","r","r","y","y","y","y","y","y","y","i","i","i","i","b","i","i","i","g","g","g","g","o","y","y","y","y","y","y","y","i","b","b","i","v","v","v","v","v","v","v","o","y","x"
"x","r","r","r","r","r","r","r","y","y","y","y","y","g","r","r","r","b","b","b","b","b","b","r","r","y","y","y","y","y","y","y","i","i","i","i","v","i","i","i","v","v","v","v","v","v","v","i","o","b","b","r","g","b","b","g","g","g","g","g","g","g","i","i","i","x"
"x","r","r","r","r","r","r","r","y","y","y","y","y","o","b","b","i","g","g","g","o","o","o","o","o","y","y","y","y","y","y","y","i","i","i","i","o","i","i","i","v","v","v","v","v","v","v","b","v","b","b","v","y","v","o","g","g","g","g","g","g","g","i","i","i","x"
"x","b","b","b","b","b","b","b","y","y","y","y","y","w","b","b","o","g","g","g","o","o","o","o","o","y","y","y","y","y","y","y","i","i","i","i","g","r","o","o","v","v","v","v","v","v","v","o","o","y","i","i","i","i","v","g","g","g","g","g","g","g","i","i","i","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","o","y","v","g","g","g","o","o","o","o","o","b","b","b","o","o","o","o","o","o","o","r","o","i","o","o","v","v","v","v","v","v","v","o","o","b","i","i","i","i","y","g","g","g","g","g","g","g","b","b","r","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","b","b","y","i","i","i","o","o","o","o","o","b","b","b","o","o","o","o","o","o","o","y","b","b","b","r","v","v","v","v","v","v","v","r","r","g","i","i","i","i","b","g","g","g","g","g","g","g","b","b","v","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","b","b","o","i","i","i","o","o","o","o","o","b","b","b","o","o","o","o","o","o","o","r","b","b","b","i","v","v","v","v","v","v","v","r","r","b","i","i","i","i","o","g","g","g","g","g","g","g","r","r","i","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","y","g","y","i","i","i","y","y","y","y","b","g","y","v","o","o","o","o","o","o","o","y","b","b","b","y","v","v","v","v","v","v","v","g","o","o","o","o","o","g","v","g","g","g","g","g","g","g","r","r","g","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","r","r","b","v","r","o","y","y","y","y","i","v","i","i","o","o","o","o","o","o","o","v","g","i","i","i","i","i","i","b","g","r","i","i","o","o","o","o","o","i","y","y","o","o","o","o","o","i","g","y","y","x"
"x","b","b","b","b","b","b","b","v","v","v","v","v","v","r","r","y","o","g","r","y","y","y","y","r","o","i","i","o","o","o","o","o","o","o","g","v","i","i","i","i","i","i","r","i","v","i","i","o","o","o","o","o","g","y","y","o","o","o","o","o","r","r","y","y","x"
"x","v","v","i","i","g","i","y","y","i","i","i","i","i","i","g","o","i","o","i","y","y","y","y","g","b","g","v","o","o","o","o","o","o","o","b","r","i","i","i","i","i","i","b","y","i","o","r","o","o","o","o","o","v","g","v","o","o","o","o","o","r","r","b","v","x"
"x","v","v","i","i","r","o","y","y","i","i","i","i","i","i","r","b","v","v","v","v","v","v","v","i","y","r","r","v","v","i","i","i","y","y","y","y","i","i","i","i","i","i","v","v","v","v","v","o","o","o","o","o","i","o","b","o","o","o","o","o","b","g","r","y","x"
"x","b","b","b","r","g","g","g","r","i","i","i","i","i","i","v","g","v","v","v","v","v","v","v","r","g","r","r","v","v","i","i","i","y","y","y","y","i","i","i","i","i","i","v","v","v","v","v","i","v","b","b","b","b","r","g","o","o","o","o","o","y","i","b","r","x"
